branch_code,branch_name
- AD,Artificial Intelligence and Data Science
- IT,INFORMATION TECHNOLOGY
AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE
AD,Artificial Intelligence and Data Science
AE,AERONAUTICAL ENGINEERING
AG,AGRICULTURAL ENGINEERING
AG,AGRICULTURE ENGINEERING
AL,Artificial Intelligence and Machine Learning
AM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)
AM,COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING)
AS,AUTOMOBILE ENGINEERING (SS)
AT,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE (SS)
AU,AUTOMOBILE ENGINEERING
BM,BIO MEDICAL ENGINEERING
BS,BIO TECHNOLOGY (SS)
BT,BIO TECHNOLOGY
BY,BIO MEDICAL ENGINEERING (SS)
CB,COMPUTER SCIENCE AND BUSSINESS SYSTEM
CC,CHEMICAL AND ELECTRO CHEMICAL ENGINEERING (SS)
CD,COMPUTER SCIENCE AND DESIGN
CE,CIVIL ENGINEERING
CF,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE)
CG,Computer Science and Engineering (Artificial Intelligence and Machine Learning) (SS)
CH,CHEMICAL ENGINEERING
CI,Computer Science and Engineering (Internet of Things)
CJ,M.Tech. Computer Science and Engineering (Integrated 5 years)
CL,CHEMICAL ENGINEERING (SS)
CM,COMPUTER SCIENCE AND ENGINEERING (SS)
CN,CIVIL ENGINEERING (SS)
CO,COMPUTER AND COMMUNICATION ENGINEERING
CR,CERAMIC TECHNOLOGY (SS)
CS,COMPUTER SCIENCE AND ENGINEERING
CW,Computer Science and Business System (SS)
CY,Cyber Security
CZ,CIVIL AND STRUCTUTURAL ENGINEERING
EA,Electronics and Communication (Advanced Communication Technology)
EC,ELECTRONICS AND COMMUNICATION ENGINEERING
EE,ELECTRICAL AND ELECTRONICS ENGINEERING
EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING
EL,Electronics Engineering (VLSI Design and Technology) (SS)
EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS)
ES,ELECTRICAL AND ELECTRONICS (SANDWICH) (SS)
ET,ELECTRONICS AND TELECOMMUNICATION ENGINEERING
EV,Electronics Engineering (VLSI Design and Technology)
EY,ELECTRICAL AND ELECTRONICS ENGINEERING (SS)
FD,FOOD TECHNOLOGY
FS,FOOD TECHNOLOGY (SS)
FT,FASHION TECHNOLOGY
FY,FASHION TECHNOLOGY (SS)
GI,GEO INFORMATICS
HT,HANDLOOM AND TEXTILE TECHNOLOGY
IB,INDUSTRIAL BIO TECHNOLOGY
IE,INDUSTRIAL ENGINEERING
IM,INFORMATION TECHNOLOGY (SS)
IN,INDUSTRIAL ENGINEERING AND MANAGEMENT
IS,INDUSTRIAL BIO TECHNOLOGY (SS)
IT,INFORMATION TECHNOLOGY
IY,INSTRUMENTATION AND CONTROL ENGINEERING (SS)
LE,LEATHER TECHNOLOGY
MA,MATERIAL SCIENCE AND ENGINEERING (SS)
MD,MEDICAL ELECTRONICS ENGINEERING
ME,MECHANICAL ENGINEERING
MF,MECHANICAL ENGINEERING (SS)
MG,MECHATRONICS (SS)
MI,MINING ENGINEERING
MJ,Mechanical and Smart Manufacturing
MM,MECHANICAL ENGINEERING (MANUFACTURING)
MN,MANUFACTURING ENGINEERING
MO,Mechanical and Mechatronics Engineering (Additive Manufacturing)
MS,MECHANICAL ENGINEERING (SANDWICH) (SS)
MT,METALLURGICAL ENGINEERING
MU,MECHANICAL AND AUTOMATION ENGINEERING
MZ,Mechatronics Engineering
PA,PLASTIC TECHNOLOGY
PC,PETRO CHEMICAL TECHNOLOGY
PD,PETRO CHEMICAL ENGINEERING
PP,PETROLEUM ENGINEERING AND TECHNOLOGY (SS)
PR,PRODUCTION ENGINEERING
PS,PRODUCTION ENGINEERING (SANDWICH) (SS)
PT,PRINTING & PACKING TECHNOLOGY
PT,PRINTING AND PACKING TECHNOLOGY
RA,ROBOTICS AND AUTOMATION (SS)
RM,ROBOTICS AND AUTOMATION
RP,RUBBER AND PLASTIC TECHNOLOGY
SC,Computer Science and Engineering (Cyber Security)
SE,Information Science and Engineering
SF,Safety and Fire Engineering
TS,Computer Science and Technology
TX,TEXTILE TECHNOLOGY
XC,CIVIL ENGINEERING (TAMIL MEDIUM)
XM,MECHANICAL ENGINEERING (TAMIL MEDIUM)
XS,COMPUTER SCIENCE AND ENGINEERING (TAMIL)
