college_code,college_name,district,college_type,annual_fees
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",Chennai,Government,50000
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",Chennai,Government,50000
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",Chengalpattu,Government,50000
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",Cuddalore,Private,70000
1014,"University College of Engineering, Tindivanam, Melpakkam, Tindivanam, Villupuram District 604001",Villupuram,Private,70000
1015,"University College of Engineering, Arni, Arni to Devikapuram Road, Thatchur, Arni, Thiruvannamalai District 632326",Thiruvannamalai,Private,70000
1026,"University College of Engineering, Kancheepuram, Ponnerikarai Campus, NH4, Chennai-Bangalore Highway, Karaipettai Village & Post, Kancheepuram District 631552",Kancheepuram,Private,70000
1106,"Jaya Engineering College, Thirunindravur, Chennai 602024",Chennai,Private,90000
1107,"Jaya Institute of Technology, Kanchipadi Post, Thiruvallur-Tiruttani NH Road, Thiruvallur District 631204",Thiruvallur,Private,70000
1113,"R M K Engineering College (Autonomous), Kavaraipettai, Gummidipoondi, Thiruvallur District 601206",Thiruvallur,Private,70000
1120,"Velammal Engineering College (Autonomous), Ambattur-Redhills Road, Chennai 600066",Chennai,Private,90000
1128,"R M K College of Engineering and Technology (Autonomous), Puduvoyal, Gummidipoondi Taluk, Thiruvallur District 601206",Thiruvallur,Private,70000
1202,"D M I College of Engineering, Palanchoor, Nazrethpet, Chennai 602103",Chennai,Private,90000
1210,"Panimalar Engineering College (Autonomous), Nazarethpet, Poonamallee, Chennai 602123",Chennai,Private,90000
1211,"Rajalakshmi Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",Kancheepuram,Private,70000
1216,"Saveetha Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",Kancheepuram,Private,70000
1226,"P T Lee Chengalvaraya Naicker College of Engineering and Technology, Oovery, Veliyur Post, Kancheepuram District 631 502",Kancheepuram,Private,70000
1230,"Apollo Engineering College, Mevaloorkuppam, Valarpuram Post, Sriperumpudur, Kancheepuram District 602105",Kancheepuram,Private,70000
1233,"Adhi College of Engineering and Technology, Pazhayaseevaram, Madura Sankarapuram Village, Kancheepuram District 631605",Kancheepuram,Private,70000
1238,"G R T Institute of Engineering and Technology, GRT Mahalakshmi Nagar, Chennai-Tirupathi Highway, Tiruttani Taluk, Thiruvallur District 631209",Thiruvallur,Private,70000
1241,"T J S Engineering College, Peruvoyal, Near Kavaraipettai, Gummidipoondi Taluk, Thiruvallur District 601206",Thiruvallur,Private,70000
1304,"Easwari Engineering College (Autonomous), Ramapuram, Chennai 600089",Chennai,Private,90000
1306,"Jeppiaar Engineering College, Old Mahabalipuram Road (OMR), Chennai 600119",Chennai,Private,90000
1311,"K C G College of Technology, Karappakkam, Chennai 600096",Chennai,Private,90000
1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Kalavakkam, Old Mahabalipuram Road (OMR), Chengalpattu District 603110",Chengalpattu,Private,70000
1318,"T.J Institute of Technology, Karapakkam, Chennai - 600097",Chennai,Private,90000
1321,"Central Institute of Petrochemicals Engineering and Technology (Formerly Central Institute of Plastics Engineering and Technology) (CIPET), Guindy, Chennai 600032",Chennai,Private,90000
1322,"Dhanalakshmi Srinivasan College of Engineering and Technology, East Coast Road, Poonjeri, Chennai 603104",Chennai,Private,90000
1325,"St. Joseph College of Engineering, Trinity Campus, Nemili, Sriperumpudur Taluk, Kancheepuram District 602105",Kancheepuram,Government,50000
1399,"Chennai Institute of Technology, Puduper Village, Nandambakkam Post, Kundrathur, Chennai 600069",Chennai,Private,90000
1401,"Adhiparasakthi Engineering College, Melmaruvathur, Chengalpattu District 603319",Chengalpattu,Private,70000
1412,"Mailam Engineering College, Mailam, Villupuram District 604304",Villupuram,Private,70000
1414,"Prince Shri Venkateshwara Padmavathy Engineering College, Ponmar, Chennai 600048",Chennai,Private,90000
1416,"Jaya Sakthi Engineering College, Thirunindravur, Chennai 602024",Chennai,Private,90000
1419,"Sri Sai Ram Enginering College (Autonomous), West Tambaram, Chennai 600044",Chennai,Private,90000
1420,"Tagore Engineering College, Rathnamangalam, Vandalur Post, Chennai 600048",Chennai,Private,90000
1421,"V R S College of Engineering and Technology, Arasur, Villupuram District 607107",Villupuram,Private,70000
